airportCode,airportName,cityCode,cityName,countryName,countryCode
0A7,Hendersonville Arpt.,0A7,Hendersonville,United States,US
AAA,AnaaTest,AAA,Anaa,French Polynesia,PF
AAB,Arrabury,AAB,Arrabury,Australia,AU
AAC,Al Arish Intl. Arpt.,AAC,Al Arish,Egypt,EG
AAD,Ad-Dabbah,AAD,Ad-Dabbah,Sudan,SD
AAE,Les Salines,AAE,Annaba,Algeria,DZ
AAF,Municipal,AAF,Apalachicola,United States,US
AAG,Arapoti,AAG,Arapoti,Brazil,BR
AAH,Aachen/Merzbruck,AAH,Aachen,Germany,DE
AAI,Arraias,AAI,Arraias,Brazil,BR
AAJ,Cayana Airstrip,AAJ,Awaradam,Suriname,SR
AAK,Aranuka,AAK,Aranuka,Kiribati,KI
AAL,Aalborg,AAL,Aalborg,Denmark,DK
AAM,Mala Mala,AAM,Mala Mala,South Africa,ZA
AAN,Al Ain,AAN,Al Ain,United Arab Emirates,AE
AAO,Anaco,AAO,Anaco,Venezuela,VE
AAP,APT Pranoto Airport,SRI,Samarinda,Indonesia,ID
AAQ,Anapa,AAQ,Anapa,Russian Federation,RU
AAR,Aarhus Arpt.,AAR,Aarhus,Denmark,DK
AAS,Apalapsili,AAS,Apalapsili,Indonesia,ID
AAT,Altay,AAT,Altay,China,CN
AAU,Asau,AAU,Asau,Samoa,WS
AAV,Allah Valley,AAV,Surallah,Philippines,PH
AAW,Abbottabad,AAW,Abbottabad,Pakistan,PK
AAX,Araxa,AAX,Araxa,Brazil,BR
AAY,Al Ghaydah,AAY,Al Ghaydah,Yemen,YE
AAZ,Quetzaltenango Airport,AAZ,Quetzaltenango,Guatemala,GT
ABA,Abakan,ABA,Abakan,Russian Federation,RU
ABB,Asaba International Airport,ABB,Asaba,Nigeria,NG
ABC,Los Llanos,ABC,Albacete,Spain,ES
ABD,Abadan,ABD,Abadan,Iran,IR
ABE,Lehigh Valley Intl.,ABE,Allentown,United States,US
ABF,Abaiang,ABF,Abaiang,Kiribati,KI
ABG,Abingdon,ABG,Abingdon,Australia,AU
ABH,Alpha,ABH,Alpha,Australia,AU
ABI,Municipal,ABI,Abilene,United States,US
ABJ,Felix Houphouet Boigny,ABJ,Abidjan,Cote D'Ivoire,CI
ABK,Kabri Dar,ABK,Kabri Dar,Ethiopia,ET
ABL,Ambler,ABL,Ambler,United States,US
ABM,Bamaga Injinoo,ABM,"Bamaga, Queensland",Australia,AU
ABN,Albina,ABN,Albina,Suriname,SR
ABO,Aboisso,ABO,Aboisso,Cote D'Ivoire,CI
ABP,Atkamba,ABP,Atkamba,Papua New Guinea,PG
ABQ,Albuquerque Intl.,ABQ,Albuquerque,United States,US
ABR,Municipal,ABR,Aberdeen,United States,US
ABS,Abu Simbel,ABS,Abu Simbel,Egypt,EG
ABT,Al-Aqiq,ABT,Al-Baha,Saudi Arabia,SA
ABU,Atambua,ABU,Atambua,Indonesia,ID
ABV,Nnamdi Azikiwe Intl. Arpt.,ABV,Abuja,Nigeria,NG
ABW,Abau,ABW,Abau,Papua New Guinea,PG
ABX,Albury,ABX,Albury,Australia,AU
ABY,Dougherty County,ABY,Albany,United States,US
ABZ,Dyce,ABZ,Aberdeen,"Scotland, United Kingdom",GB
ACA,General Juan N. Alvarez Intl.,ACA,Acapulco,Mexico,MX
ACB,Antrim County,ACB,Bellaire,United States,US
ACC,Kotoka,ACC,Accra,Ghana,GH
ACD,Acandi,ACD,Acandi,Colombia,CO
ACE,Lanzarote,ACE,Arrecife,Spain,ES
ACH,Altenrhein,ACH,Altenrhein,Switzerland,CH
ACI,The Blaye,ACI,Alderney,United Kingdom,GB
ACJ,Anuradhapura,ACJ,Anuradhapura,Sri Lanka,LK
ACK,Nantucket Memorial,ACK,Nantucket,United States,US
ACL,Aguaclara,ACL,Aguaclara,Colombia,CO
ACM,Arica,ACM,Arica,Colombia,CO
ACN,Intl.,ACN,Ciudad Acuna,Mexico,MX
ACO,Ascona,ACO,Ascona,Switzerland,CH
ACP,Sahand,ACP,Sahand,Iran,IR
ACR,Araracuara,ACR,Araracuara,Colombia,CO
ACS,Achinsk,ACS,Achinsk,Russian Federation,RU
ACT,Municipal,ACT,Waco,United States,US
ACU,Achutupo,ACU,Achutupo,Panama,PA
ACV,Arcata,ACV,Arcata,United States,US
ACX,Xingyi,ACX,Xingyi,China,CN
ACY,Atlantic City Intl,ACY,Atlantic City,United States,US
ACZ,Zabol A/P,ACZ,Zabol,Iran,IR
ADA,Adana,ADA,Adana,Turkey,TR
ADB,Adnan Menderes,ADB,Izmir,Turkey,TR
ADC,Andakombe,ADC,Andakombe,Papua New Guinea,PG
ADD,Bole Intl.,ADD,Addis Ababa,Ethiopia,ET
ADE,Intl.,ADE,Aden,Yemen,YE
ADF,Adiyaman,ADF,Adiyaman,Turkey,TR
ADG,Lenawee County,ADG,Adrian,United States,US
ADH,Aldan,ADH,Aldan,Russian Federation,RU
ADI,Arandis,ADI,Arandis,Namibia,NA
